protocol,track,method,partition,n_samples,n_true,n_fake,macro_f1,balanced_accuracy,precision_fake,recall_fake,f1_fake,fpr_true,accuracy,roc_auc,average_precision,threshold_q95,noise_rate,assignment_coverage,selected,parameters_json,eps_method,cluster_count_train,train_noise_rate,core_count_train,fit_seconds,parameter_name,parameter_value,eps,min_samples,cluster_count,cluster_sizes_json,noise_count,silhouette_cosine_nonnoise,ari,nmi,cluster_composition_json,k,stability_seeds,stability_pairwise_ari,stability_mean_pairwise_ari,selection_rule,validation_silhouette_cosine,core_count,valid,invalid_reason,features,fit_warnings
canonical_random_group,novelty_detection,DBSCANStyleNovelty,validation,1440.0,720.0,720.0,0.5196982411320189,0.5840277777777778,0.8134715025906736,0.21805555555555556,0.343921139101862,0.05,0.5840277777777778,0.9381298225308642,0.8728308363278687,2.9036225079916664,0.5756944444444444,0.42430555555555555,False,"{""eps"": 0.3829763572036036, ""min_samples"": 5}",predefined k-distance quantiles; knee unstable (strength < 0.02 or endpoint),14.0,0.14351851851851852,1726.0,0.016144000008353032,,,,,,,,,,,,,,,,,,,,,,
canonical_random_group,novelty_detection,DBSCANStyleNovelty,validation,1440.0,720.0,720.0,0.9645757995407009,0.9645833333333333,0.951417004048583,0.9791666666666666,0.9650924024640657,0.05,0.9645833333333333,0.9602719907407409,0.9091600387310347,1.6370351220009305,0.5333333333333333,0.4666666666666667,True,"{""eps"": 0.5733831828891132, ""min_samples"": 5}",predefined k-distance quantiles; knee unstable (strength < 0.02 or endpoint),5.0,0.06851851851851852,1943.0,0.020304999998188578,,,,,,,,,,,,,,,,,,,,,,
canonical_random_group,novelty_detection,DBSCANStyleNovelty,validation,1440.0,720.0,720.0,0.9074728522778385,0.9076388888888889,0.9453717754172989,0.8652777777777778,0.9035532994923858,0.05,0.9076388888888889,0.9531317515432097,0.9087636686929382,0.9054291992535759,0.4361111111111111,0.5638888888888889,False,"{""eps"": 0.8650753772018578, ""min_samples"": 5}",predefined k-distance quantiles; knee unstable (strength < 0.02 or endpoint),3.0,0.033796296296296297,2049.0,0.028704299998935312,,,,,,,,,,,,,,,,,,,,,,
canonical_random_group,novelty_detection,DBSCANStyleNovelty,validation,1440.0,720.0,720.0,0.529379441149165,0.5902777777777778,0.8217821782178217,0.23055555555555557,0.3600867678958785,0.05,0.5902777777777778,0.9342293595679013,0.8629754495131929,1.9969758832811058,0.5638888888888889,0.4361111111111111,False,"{""eps"": 0.5608427529374449, ""min_samples"": 10}",predefined k-distance quantiles; knee unstable (strength < 0.02 or endpoint),2.0,0.13333333333333333,1729.0,0.01896899999701418,,,,,,,,,,,,,,,,,,,,,,
canonical_random_group,novelty_detection,KMeansNovelty,validation,1440.0,720.0,720.0,0.45116079468789166,0.5423611111111111,0.7293233082706767,0.13472222222222222,0.22743259085580306,0.05,0.5423611111111111,0.6562905092592592,0.6245072783741143,3.3415026918899393,,,False,"{""k"": 1}",,,,,,k,1.0,,,,,,,,,,,,,,,,,,,,
canonical_random_group,novelty_detection,KMeansNovelty,validation,1440.0,720.0,720.0,0.4402182515665881,0.5361111111111111,0.7096774193548387,0.12222222222222222,0.20853080568720378,0.05,0.5361111111111111,0.7278414351851852,0.6678041602554903,2.81407856357322,,,False,"{""k"": 2}",,,,,,k,2.0,,,,,,,,,,,,,,,,,,,,
canonical_random_group,novelty_detection,KMeansNovelty,validation,1440.0,720.0,720.0,0.44266616456411223,0.5375,0.7142857142857143,0.125,0.2127659574468085,0.05,0.5375,0.7598649691358024,0.6912752495834933,2.4580213999484566,,,False,"{""k"": 4}",,,,,,k,4.0,,,,,,,,,,,,,,,,,,,,
canonical_random_group,novelty_detection,KMeansNovelty,validation,1440.0,720.0,720.0,0.43899077039187834,0.5354166666666667,0.7073170731707317,0.12083333333333333,0.20640569395017794,0.05,0.5354166666666667,0.8351003086419752,0.7503202767489252,2.030049808893606,,,True,"{""algorithm"": ""lloyd"", ""init"": ""k-means++"", ""n_clusters"": 8, ""n_init"": 20, ""random_state"": 42}",,,,,,k,8.0,,,,,,,,,,,,,,,,,,,,
canonical_random_group,novelty_detection,IsolationForest,validation,1440.0,720.0,720.0,0.9638819216669883,0.9638888888888888,0.9513513513513514,0.9777777777777777,0.9643835616438357,0.05,0.9638888888888889,0.9731365740740741,0.9538269552207651,0.08418247008884833,,,True,"{""contamination"": ""auto"", ""n_estimators"": 300, ""n_jobs"": -1, ""random_state"": 42}",,,,,,n_estimators,300.0,,,,,,,,,,,,,,,,,,,,
canonical_random_group,novelty_detection,LOF,validation,1440.0,720.0,720.0,0.9388813433757254,0.9388888888888889,0.9488636363636364,0.9277777777777778,0.9382022471910112,0.05,0.9388888888888889,0.9766820987654321,0.9667712282325065,-0.054244918135349506,,,True,"{""algorithm"": ""auto"", ""contamination"": ""auto"", ""metric"": ""minkowski"", ""n_jobs"": 1, ""n_neighbors"": 10, ""novelty"": true, ""p"": 2}",,,,,,n_neighbors,10.0,,,,,,,,,,,,,,,,,,,,
canonical_random_group,novelty_detection,LOF,validation,1440.0,720.0,720.0,0.9277420948616601,0.9277777777777778,0.9476744186046512,0.9055555555555556,0.9261363636363636,0.05,0.9277777777777778,0.9736458333333334,0.9590821223830581,-0.06068389800318384,,,False,"{""n_neighbors"": 20}",,,,,,n_neighbors,20.0,,,,,,,,,,,,,,,,,,,,
canonical_random_group,novelty_detection,LOF,validation,1440.0,720.0,720.0,0.8412397969836343,0.8430555555555556,0.9363957597173145,0.7361111111111112,0.8242612752721618,0.05,0.8430555555555556,0.963468364197531,0.9351872032539604,-0.0264607751255293,,,False,"{""n_neighbors"": 40}",,,,,,n_neighbors,40.0,,,,,,,,,,,,,,,,,,,,
canonical_random_group,novelty_detection,LOF,validation,1440.0,720.0,720.0,0.6713584964114215,0.6930555555555555,0.8971428571428571,0.4361111111111111,0.5869158878504673,0.05,0.6930555555555555,0.942698688271605,0.8925083456241574,0.020870605954888082,,,False,"{""n_neighbors"": 80}",,,,,,n_neighbors,80.0,,,,,,,,,,,,,,,,,,,,
canonical_random_group,novelty_detection,OneClassSVM,validation,1440.0,720.0,720.0,0.6375717305949864,0.6666666666666666,0.8846153846153846,0.38333333333333336,0.5348837209302325,0.05,0.6666666666666666,0.7590354938271604,0.7419609930066557,-0.0038524961386066443,,,False,"{""nu"": 0.01}",,,,,,nu,0.01,,,,,,,,,,,,,,,,,,,,
canonical_random_group,novelty_detection,OneClassSVM,validation,1440.0,720.0,720.0,0.6228583015105944,0.6555555555555556,0.8783783783783784,0.3611111111111111,0.5118110236220472,0.05,0.6555555555555556,0.8176736111111111,0.7758716796532157,-0.0023997548112961987,,,False,"{""nu"": 0.025}",,,,,,nu,0.025,,,,,,,,,,,,,,,,,,,,
canonical_random_group,novelty_detection,OneClassSVM,validation,1440.0,720.0,720.0,0.5186136071887034,0.5833333333333333,0.8125,0.21666666666666667,0.34210526315789475,0.05,0.5833333333333334,0.8392881944444444,0.7851429348315969,0.28907495797599997,,,False,"{""nu"": 0.05}",,,,,,nu,0.05,,,,,,,,,,,,,,,,,,,,
canonical_random_group,novelty_detection,OneClassSVM,validation,1440.0,720.0,720.0,0.4689924966331046,0.5527777777777778,0.7567567567567568,0.15555555555555556,0.25806451612903225,0.05,0.5527777777777778,0.861545138888889,0.7959542083157182,3.3926127700232978,,,True,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.1}",,,,,,nu,0.1,,,,,,,,,,,,,,,,,,,,
canonical_random_group,novelty_detection,KMeansNovelty,test,1440.0,720.0,720.0,0.4351692103516921,0.5381944444444444,0.7619047619047619,0.1111111111111111,0.19393939393939394,0.034722222222222224,0.5381944444444444,0.8470659722222222,0.7750559756854677,2.030049808893606,,,True,"{""algorithm"": ""lloyd"", ""init"": ""k-means++"", ""n_clusters"": 8, ""n_init"": 20, ""random_state"": 42}",,,,,,,,,,,,,,,,,,,,,,,,,,,
canonical_random_group,novelty_detection,IsolationForest,test,1440.0,720.0,720.0,0.972912891505423,0.9729166666666667,0.9620081411126187,0.9847222222222223,0.9732326698695951,0.03888888888888889,0.9729166666666667,0.9786014660493827,0.9750488535055448,0.08418247008884833,,,True,"{""contamination"": ""auto"", ""n_estimators"": 300, ""n_jobs"": -1, ""random_state"": 42}",,,,,,,,,,,,,,,,,,,,,,,,,,,
